Customer_ID,Age_Group,Income_Level,Cuisine_Preference,Price_Range,Dietary_Restrictions,Dining_Occasion,Previous_Rating_Italian,Previous_Rating_Asian,Previous_Rating_American,Dataset_Type,Actual_Recommendation
C065,25-34,Medium,Asian,$$,Gluten-Free,Casual,3.0,4.6,3.0,Training,Asian
C066,35-44,Medium,Italian,$$,None,Date,4.5,3.5,3.8,Training,Italian
C067,18-24,Low,American,$,None,Casual,2.0,2.0,4.7,Training,American
C068,45-54,High,Asian,$$$,Vegetarian,Business,3.5,4.7,3.0,Training,Asian
C069,25-34,Medium,Italian,$$,None,Casual,4.5,3.0,3.5,Training,Italian
C070,35-44,High,American,$$$,None,Special,4.2,3.5,4.6,Training,American
C071,25-34,Medium,Italian,$$,None,Casual,4.6,3.5,3.8,Test,Italian
C072,35-44,High,Asian,$$$,None,Business,3.5,4.8,3.5,Test,Asian
C073,18-24,Low,American,$,None,Casual,2.5,2.5,4.6,Test,American
C074,45-54,High,Italian,$$$,None,Special,4.7,3.0,4.0,Test,Italian
C075,25-34,Low,Asian,$,Vegetarian,Casual,2.5,4.7,2.5,Test,Asian
C076,35-44,Medium,American,$$,None,Casual,3.5,3.0,4.5,Test,American
C077,25-34,Medium,Italian,$$,None,Date,4.5,3.0,3.5,Test,Italian
C078,18-24,Low,Asian,$,None,Casual,2.0,4.8,2.5,Test,Asian
C079,45-54,High,American,$$$,None,Business,4.0,3.5,4.6,Test,American
C080,25-34,Medium,Asian,$$,Vegetarian,Casual,3.0,4.6,3.0,Test,Asian
C081,35-44,High,Italian,$$$,None,Special,4.8,3.5,4.2,Test,Italian
C082,18-24,Low,American,$,None,Casual,2.5,2.0,4.7,Test,American
C083,25-34,Low,Italian,$,None,Casual,4.3,2.5,3.0,Test,Italian
C084,45-54,High,Asian,$$$,Gluten-Free,Special,3.5,4.7,3.2,Test,Asian
C085,35-44,Medium,Italian,$$,None,Date,4.6,3.5,3.8,Test,Italian
C086,25-34,Medium,American,$$,None,Casual,3.5,3.0,4.4,Test,American
C087,18-24,Low,Asian,$,Vegetarian,Casual,2.0,4.6,2.5,Test,Asian
C088,45-54,High,Italian,$$$,None,Business,4.9,3.0,4.0,Test,Italian
C089,25-34,Medium,Asian,$$,None,Casual,3.2,4.7,3.0,Test,Asian
C090,35-44,High,American,$$$,None,Special,4.0,3.5,4.5,Test,American
C091,25-34,Low,Italian,$,None,Casual,4.4,2.5,3.2,Test,Italian
C092,45-54,Medium,Asian,$$,None,Casual,3.8,4.6,3.5,Test,Asian
C093,18-24,Low,American,$,None,Casual,2.5,2.5,4.8,Test,American
C094,35-44,High,Italian,$$$,None,Business,4.7,3.5,4.0,Test,Italian
C095,25-34,Medium,Asian,$$,Vegetarian,Date,3.0,4.5,3.0,Test,Asian
C096,45-54,High,American,$$$,None,Special,4.2,3.5,4.7,Test,American
C097,25-34,Medium,Italian,$$,None,Casual,4.5,3.0,3.5,Test,Italian
C098,18-24,Low,Asian,$,None,Casual,2.0,4.7,2.5,Test,Asian
C099,35-44,Medium,American,$$,None,Casual,3.8,3.0,4.6,Test,American
C100,45-54,High,Italian,$$$,None,Special,4.8,3.5,4.0,Test,Italian
