customer_id,order_date,product_category,size,color,price,rating,returned,customer_age_group,customer_gender,customer_state,purchase_count,issue_type,resolution_status,response_time_mins,satisfaction_score,season
CUST00016,2025-08-23,Jackets,S,Pink,23,4.7,No,36-45,Prefer not to say,GA,10,Payment,Escalated,210,5,Spring
CUST00017,2025-10-19,Accessories,L,White,24,4.1,Yes,65+,Male,NY,13,Payment,Closed,143,3,Summer
CUST00018,2025-04-25,Accessories,XS,Burgundy,117,4.5,No,18-25,Prefer not to say,IL,2,Other,Escalated,92,5,Summer
CUST00019,2025-03-16,Accessories,S,Red,129,3.5,No,18-25,Female,CA,1,Other,Closed,54,3,Spring
CUST00020,2024-08-05,Pants,XL,Black,73,4.8,Yes,46-55,Prefer not to say,TX,11,Sizing,Resolved,168,3,Spring
CUST00021,2024-12-16,Accessories,XXL,Blue,22,4.8,Yes,65+,Male,CA,3,Style Advice,Resolved,56,5,Summer
CUST00022,2025-02-14,Pants,S,Gray,151,3.2,No,26-35,Male,TX,8,Sizing,Pending,164,5,All Season
CUST00023,2025-09-17,Dresses,XS,Burgundy,121,3.4,Yes,26-35,Prefer not to say,OH,14,Sizing,Pending,133,4,Spring
CUST00024,2024-06-11,Jackets,M,White,30,3.8,No,65+,Female,TX,1,Payment,Escalated,26,5,Summer
CUST00025,2024-07-14,Accessories,M,Gray,43,4.9,No,56-65,Female,NC,5,Other,Closed,205,4,All Season
CUST00026,2024-12-01,Jackets,L,Green,122,4,No,36-45,Non-Binary,GA,5,Product Quality,Resolved,164,3,Winter
CUST00027,2025-08-14,Skirts,L,Burgundy,21,3.4,Yes,65+,Male,NC,4,Product Quality,Closed,188,4,Winter
CUST00028,2024-10-01,Jackets,L,Red,72,4.4,No,56-65,Male,CA,11,Return Request,Pending,217,5,All Season
CUST00029,2025-07-04,Jackets,XS,Blue,37,4.9,No,18-25,Non-Binary,OH,6,Product Quality,Resolved,58,4,All Season
CUST00030,2024-12-15,Tops,XXL,Burgundy,157,4.7,No,18-25,Female,GA,10,Product Quality,Escalated,34,4,Fall
CUST00031,2025-10-27,Tops,M,Green,157,4.2,Yes,36-45,Non-Binary,PA,1,Sizing,Pending,161,5,Spring
CUST00032,2025-04-03,Shoes,XS,Burgundy,165,3.8,No,18-25,Non-Binary,IL,11,Delivery,Resolved,32,4,Spring
CUST00033,2025-04-17,Dresses,L,Pink,129,3.5,Yes,26-35,Female,TX,15,Sizing,Pending,72,5,Winter
CUST00034,2025-04-24,Skirts,XL,Red,151,4.4,No,18-25,Non-Binary,OH,5,Other,Escalated,214,5,All Season
CUST00035,2024-08-06,Shoes,L,Pink,32,4.9,Yes,56-65,Non-Binary,CA,15,Product Quality,Closed,66,3,Fall
CUST00036,2025-05-18,Dresses,XXL,Green,130,4.9,Yes,36-45,Prefer not to say,CA,6,Sizing,Pending,111,4,Fall
CUST00037,2025-05-25,Skirts,M,Black,130,3.6,No,18-25,Female,NC,6,Style Advice,Closed,96,3,Summer
CUST00038,2025-06-24,Skirts,S,Blue,114,4.2,Yes,18-25,Non-Binary,MI,7,Sizing,Pending,71,5,Summer
CUST00039,2025-09-28,Jackets,XS,Blue,84,3.6,No,18-25,Non-Binary,NC,14,Sizing,Closed,109,3,Spring
CUST00040,2025-01-31,Tops,XS,Burgundy,29,3.9,Yes,56-65,Prefer not to say,NC,1,Style Advice,Escalated,119,3,Fall
CUST00041,2024-11-02,Pants,M,White,47,4.3,No,18-25,Non-Binary,MI,7,Payment,Pending,31,5,Spring
CUST00042,2024-11-12,Jackets,XS,Gray,103,4.4,No,36-45,Prefer not to say,NY,15,Return Request,Closed,147,4,Winter
CUST00043,2025-04-11,Dresses,S,Navy,41,3.7,No,26-35,Female,IL,10,Return Request,Pending,67,5,All Season
CUST00044,2025-09-24,Shoes,XS,Beige,82,3.9,No,36-45,Male,GA,1,Product Quality,Closed,260,3,Winter
CUST00045,2025-01-14,Skirts,M,Burgundy,126,4.1,Yes,65+,Non-Binary,PA,5,Return Request,Pending,241,5,Summer
CUST00046,2025-01-20,Jackets,XXL,Green,138,4.3,No,56-65,Male,GA,10,Return Request,Escalated,165,4,Winter
CUST00047,2025-10-04,Pants,S,Red,20,3.2,Yes,56-65,Prefer not to say,MI,13,Sizing,Resolved,92,4,Summer
CUST00048,2025-10-20,Shoes,S,Gray,57,3.8,No,18-25,Non-Binary,CA,13,Style Advice,Resolved,68,4,All Season
CUST00049,2025-10-20,Jackets,M,Blue,82,4.4,Yes,26-35,Prefer not to say,PA,12,Style Advice,Pending,28,4,Winter
CUST00050,2024-07-03,Pants,XS,Burgundy,82,4.4,Yes,65+,Male,FL,1,Return Request,Closed,292,3,Fall
CUST00051,2025-10-28,Skirts,XXL,Gray,144,4.6,Yes,36-45,Female,MI,14,Sizing,Resolved,216,3,Winter
CUST00052,2025-10-03,Pants,M,White,120,4.7,No,26-35,Prefer not to say,PA,6,Payment,Closed,34,4,Winter
CUST00053,2025-07-28,Tops,XL,Burgundy,105,4.8,No,18-25,Non-Binary,MI,11,Sizing,Pending,193,4,Winter
CUST00054,2024-07-01,Tops,XS,Gray,155,3.7,Yes,46-55,Female,TX,12,Sizing,Pending,236,3,Fall
CUST00055,2024-05-27,Accessories,M,Burgundy,47,4.8,No,18-25,Female,GA,14,Return Request,Pending,14,4,Summer
CUST00056,2025-07-22,Shoes,XS,Beige,57,4.3,No,36-45,Male,PA,9,Sizing,Escalated,85,5,Spring
CUST00057,2025-02-13,Pants,XL,White,144,3.8,Yes,26-35,Non-Binary,OH,11,Sizing,Resolved,17,4,Summer
CUST00058,2025-06-08,Jackets,M,Gray,112,4.3,No,36-45,Non-Binary,GA,11,Return Request,Escalated,315,4,Summer
CUST00059,2024-10-10,Accessories,S,Gray,104,4.1,No,36-45,Male,IL,12,Payment,Resolved,246,3,Summer
CUST00060,2025-01-25,Dresses,M,Blue,158,4.5,Yes,36-45,Non-Binary,PA,10,Sizing,Resolved,163,5,Fall
CUST00061,2024-12-11,Skirts,XL,Pink,55,5,No,36-45,Female,PA,9,Style Advice,Resolved,178,5,Spring
CUST00062,2025-09-02,Dresses,XS,Burgundy,158,4.1,Yes,18-25,Male,TX,3,Delivery,Closed,150,4,Fall
CUST00063,2025-02-04,Accessories,L,Burgundy,152,3,No,65+,Male,PA,4,Delivery,Closed,10,4,All Season
CUST00064,2025-07-28,Shoes,L,Gray,68,4.7,No,56-65,Non-Binary,GA,8,Payment,Escalated,267,3,Winter
CUST00065,2025-07-05,Tops,XL,Red,168,4,No,26-35,Female,PA,5,Other,Pending,243,3,Spring
CUST00066,2024-12-27,Pants,XXL,Gray,45,3.4,Yes,46-55,Non-Binary,MI,13,Delivery,Resolved,65,4,Winter
CUST00067,2024-10-22,Dresses,XS,Green,49,3.8,Yes,18-25,Non-Binary,PA,14,Return Request,Escalated,194,3,Spring
CUST00068,2025-02-06,Tops,M,Black,166,3.3,Yes,26-35,Female,FL,8,Return Request,Closed,176,3,Spring
CUST00069,2024-10-26,Skirts,XL,White,43,3.8,No,56-65,Female,TX,14,Sizing,Resolved,154,3,Winter
CUST00070,2025-07-24,Dresses,XXL,Black,21,3.7,Yes,56-65,Female,PA,4,Style Advice,Escalated,49,4,Spring
CUST00071,2024-12-22,Accessories,XL,White,36,3,No,26-35,Male,PA,1,Payment,Escalated,113,3,Summer
CUST00072,2025-02-11,Skirts,XXL,Burgundy,141,4.1,No,36-45,Male,GA,3,Payment,Resolved,79,5,Spring
CUST00073,2025-04-12,Accessories,XS,Gray,126,4.9,Yes,36-45,Male,IL,5,Style Advice,Pending,32,5,Winter
CUST00074,2024-05-17,Tops,XXL,Red,115,3.2,No,36-45,Male,NC,7,Product Quality,Closed,167,5,Winter
CUST00075,2025-10-22,Dresses,S,Green,94,4.3,Yes,36-45,Female,CA,13,Payment,Closed,123,5,Spring
CUST00076,2024-07-18,Tops,S,Black,33,3,No,56-65,Non-Binary,OH,14,Sizing,Pending,37,5,All Season
CUST00077,2024-06-05,Skirts,XS,Pink,53,3.9,No,56-65,Non-Binary,GA,3,Payment,Escalated,185,4,Winter
CUST00078,2025-08-14,Shoes,XS,Pink,86,3.4,Yes,46-55,Non-Binary,GA,5,Sizing,Pending,313,5,Fall
CUST00079,2025-03-06,Dresses,L,Navy,89,4.4,Yes,56-65,Prefer not to say,NY,7,Sizing,Pending,165,5,Winter
CUST00080,2025-06-18,Shoes,M,Blue,114,3.8,No,65+,Non-Binary,GA,9,Sizing,Closed,84,3,Spring
CUST00081,2024-07-21,Tops,XXL,Navy,90,4.6,Yes,26-35,Female,PA,14,Return Request,Escalated,38,4,Summer
CUST00082,2025-06-29,Pants,S,Pink,102,3.8,Yes,46-55,Female,NY,3,Product Quality,Resolved,94,4,Summer
CUST00083,2025-05-24,Skirts,XS,Red,27,4.6,No,56-65,Female,TX,15,Product Quality,Resolved,22,3,Summer
CUST00084,2025-09-17,Pants,L,Black,53,4.7,Yes,26-35,Female,NY,2,Style Advice,Resolved,20,5,Fall
CUST00085,2025-03-10,Accessories,M,Green,75,3.7,No,26-35,Female,NY,1,Payment,Escalated,102,4,Spring
CUST00086,2024-10-16,Tops,XL,Pink,32,3.7,No,26-35,Female,NY,13,Sizing,Closed,76,4,All Season
CUST00087,2025-08-15,Jackets,XS,Burgundy,90,3.5,No,56-65,Non-Binary,CA,2,Other,Escalated,182,3,All Season
CUST00088,2024-06-24,Accessories,S,Red,127,4.1,No,36-45,Prefer not to say,MI,15,Other,Resolved,37,5,Fall
CUST00089,2025-05-19,Accessories,S,Navy,140,3.1,No,26-35,Non-Binary,PA,10,Sizing,Resolved,92,4,Spring
CUST00090,2025-07-06,Jackets,L,Beige,66,3.6,No,26-35,Non-Binary,OH,13,Sizing,Pending,56,5,Fall
CUST00091,2024-07-25,Skirts,XL,Green,169,3.3,No,36-45,Non-Binary,PA,12,Product Quality,Closed,196,5,Winter
CUST00092,2025-02-22,Tops,S,Gray,169,3.8,No,26-35,Non-Binary,NC,1,Style Advice,Resolved,62,3,Summer
CUST00093,2024-07-24,Dresses,XL,Red,91,3.8,Yes,26-35,Male,MI,1,Sizing,Closed,137,3,Winter
CUST00094,2024-09-23,Skirts,XXL,Pink,141,3.6,No,36-45,Male,PA,4,Delivery,Resolved,231,4,Fall
CUST00095,2024-06-22,Dresses,S,Gray,134,4.8,No,36-45,Prefer not to say,CA,15,Delivery,Resolved,201,5,Winter
CUST00096,2024-07-30,Jackets,XL,White,51,4.2,No,36-45,Female,GA,15,Return Request,Closed,280,3,Fall
CUST00097,2025-08-18,Dresses,L,Green,139,4.2,No,46-55,Non-Binary,NY,15,Return Request,Escalated,211,3,Spring
CUST00098,2025-05-17,Tops,L,Pink,28,4.2,No,36-45,Non-Binary,IL,9,Product Quality,Escalated,77,3,Summer
CUST00099,2024-11-01,Tops,S,Blue,20,4.2,No,36-45,Female,MI,1,Sizing,Resolved,123,4,Winter
CUST00100,2025-10-01,Shoes,S,Burgundy,152,4.2,Yes,46-55,Prefer not to say,GA,8,Style Advice,Pending,171,4,Summer
CUST00101,2024-10-30,Pants,S,Burgundy,106,4.3,Yes,65+,Male,TX,12,Return Request,Escalated,182,3,Winter
CUST00102,2025-07-21,Jackets,L,Burgundy,74,4.2,No,26-35,Prefer not to say,CA,4,Delivery,Resolved,74,4,Summer
CUST00103,2025-03-25,Jackets,XS,Gray,154,4.8,No,56-65,Non-Binary,CA,4,Style Advice,Escalated,70,3,Fall
CUST00104,2025-02-02,Accessories,XS,Red,166,3,No,18-25,Male,NC,1,Product Quality,Escalated,109,4,Summer
CUST00105,2025-09-12,Dresses,XS,Burgundy,26,4.8,No,36-45,Male,NC,7,Delivery,Escalated,12,4,Summer
CUST00106,2025-05-31,Tops,M,Beige,146,3.8,No,56-65,Female,PA,6,Sizing,Resolved,200,5,Winter
CUST00107,2025-09-11,Dresses,M,Burgundy,99,3,Yes,26-35,Male,GA,10,Sizing,Escalated,188,5,All Season
CUST00108,2025-06-03,Pants,M,Black,23,4.1,Yes,26-35,Prefer not to say,FL,6,Style Advice,Closed,68,3,Winter
CUST00109,2025-07-07,Accessories,S,White,130,4.7,No,26-35,Female,FL,4,Sizing,Escalated,164,4,All Season
CUST00110,2025-10-08,Accessories,XS,Navy,27,4.7,No,26-35,Male,NC,14,Style Advice,Resolved,92,3,Summer
CUST00111,2024-12-27,Accessories,M,Black,151,3.3,No,26-35,Prefer not to say,CA,2,Other,Resolved,187,3,Summer
CUST00112,2024-07-28,Accessories,XL,Blue,68,3.6,No,56-65,Prefer not to say,NC,1,Style Advice,Escalated,105,5,Winter
CUST00113,2025-05-21,Jackets,M,Blue,75,3.9,Yes,36-45,Male,GA,15,Return Request,Closed,152,5,All Season
CUST00114,2025-03-15,Shoes,L,Red,124,3.1,No,46-55,Non-Binary,IL,7,Other,Escalated,244,4,Fall
CUST00115,2025-03-09,Accessories,XS,Black,84,4.2,No,36-45,Prefer not to say,IL,14,Delivery,Closed,152,3,Spring
CUST00116,2024-05-30,Jackets,L,Blue,128,4.6,Yes,56-65,Prefer not to say,MI,12,Sizing,Pending,26,3,Fall
CUST00117,2024-10-04,Tops,XL,Green,140,4.8,No,36-45,Non-Binary,FL,2,Other,Closed,243,5,Summer
CUST00118,2025-04-22,Tops,S,Navy,37,3.2,Yes,46-55,Non-Binary,NC,15,Style Advice,Pending,123,4,All Season
CUST00119,2024-12-12,Skirts,S,Blue,101,3.6,Yes,18-25,Male,GA,5,Other,Pending,65,5,Spring
CUST00120,2024-09-29,Jackets,L,Beige,65,3.7,No,36-45,Female,NY,8,Return Request,Closed,149,3,Summer
CUST00121,2024-08-16,Accessories,XL,Burgundy,58,3.9,No,18-25,Female,IL,1,Return Request,Escalated,38,4,All Season
CUST00122,2024-11-29,Dresses,S,Blue,78,4.2,Yes,36-45,Prefer not to say,GA,8,Style Advice,Pending,141,3,Spring
CUST00123,2025-04-17,Pants,M,Beige,144,3.3,Yes,26-35,Male,NC,12,Return Request,Resolved,122,5,Winter
CUST00124,2024-12-10,Skirts,XXL,Navy,151,4.4,No,36-45,Prefer not to say,TX,9,Product Quality,Resolved,272,3,Winter
CUST00125,2025-08-20,Shoes,XS,Navy,29,3.2,No,18-25,Prefer not to say,FL,14,Payment,Pending,249,3,All Season
CUST00126,2025-04-11,Skirts,XXL,Pink,110,4.1,No,18-25,Non-Binary,CA,8,Other,Escalated,75,5,All Season
CUST00127,2025-10-04,Shoes,M,Red,86,4.5,No,56-65,Non-Binary,TX,7,Other,Closed,312,3,Summer
CUST00128,2025-09-25,Tops,S,Beige,70,4.6,Yes,18-25,Male,CA,9,Sizing,Closed,43,4,Summer
CUST00129,2025-04-10,Shoes,M,Gray,169,3,Yes,18-25,Non-Binary,NY,12,Product Quality,Closed,66,5,Summer
CUST00130,2025-02-12,Dresses,S,Pink,91,4.2,Yes,26-35,Female,IL,13,Payment,Closed,214,5,Winter
CUST00131,2024-08-05,Shoes,L,Burgundy,27,4.1,No,56-65,Non-Binary,NC,14,Sizing,Closed,11,4,Spring
CUST00132,2025-09-07,Skirts,XXL,Burgundy,71,4.6,Yes,36-45,Prefer not to say,OH,7,Sizing,Resolved,49,3,Fall
CUST00133,2025-09-09,Tops,L,Blue,25,3.2,Yes,26-35,Male,NY,13,Payment,Escalated,84,5,Summer
CUST00134,2025-07-04,Skirts,XS,Navy,76,3,Yes,56-65,Female,PA,11,Product Quality,Closed,117,4,Spring
CUST00135,2025-01-11,Accessories,M,Navy,77,3.5,No,18-25,Non-Binary,MI,6,Payment,Escalated,161,3,Fall
CUST00136,2024-11-10,Shoes,XL,Beige,140,3,Yes,36-45,Male,CA,6,Delivery,Pending,178,5,Spring
CUST00137,2025-09-09,Shoes,L,Navy,52,4.1,No,36-45,Female,PA,6,Style Advice,Resolved,82,5,Spring
CUST00138,2025-08-27,Skirts,XXL,Burgundy,46,3.7,No,18-25,Male,FL,11,Delivery,Resolved,193,3,Winter
CUST00139,2024-08-17,Jackets,M,Navy,98,4.1,No,65+,Prefer not to say,MI,5,Product Quality,Closed,113,4,All Season
CUST00140,2024-08-08,Skirts,S,Gray,127,3.9,Yes,26-35,Non-Binary,CA,12,Return Request,Closed,240,5,Spring
CUST00141,2025-03-17,Jackets,L,Gray,97,3.5,No,18-25,Prefer not to say,FL,3,Product Quality,Resolved,86,4,Fall
CUST00142,2025-07-17,Dresses,L,Gray,42,4.2,Yes,26-35,Female,PA,8,Style Advice,Escalated,184,3,Spring
CUST00143,2024-12-28,Shoes,M,Burgundy,77,3.3,Yes,36-45,Prefer not to say,GA,5,Payment,Closed,209,5,Fall
CUST00144,2025-07-21,Shoes,L,Burgundy,95,4.6,Yes,18-25,Non-Binary,MI,1,Product Quality,Closed,20,3,Winter
CUST00145,2024-06-25,Skirts,XXL,Green,119,4.9,No,46-55,Female,CA,11,Delivery,Pending,53,3,All Season
CUST00146,2024-06-11,Shoes,XXL,Black,68,3.3,No,26-35,Male,FL,13,Delivery,Escalated,199,3,Summer
CUST00147,2024-08-27,Tops,XS,Navy,21,4.8,No,26-35,Non-Binary,PA,4,Return Request,Resolved,84,3,Spring
CUST00148,2024-10-13,Shoes,XXL,Black,35,3.7,No,36-45,Male,NC,6,Product Quality,Escalated,82,4,All Season
CUST00149,2025-10-05,Jackets,XL,Navy,85,3.6,No,36-45,Non-Binary,FL,11,Payment,Resolved,178,3,Summer
CUST00150,2024-07-16,Pants,XXL,Pink,94,3.8,Yes,36-45,Female,MI,5,Sizing,Closed,36,5,Summer
CUST00151,2025-02-08,Accessories,M,White,140,4.3,No,18-25,Female,PA,13,Sizing,Resolved,68,5,Fall
CUST00152,2025-03-08,Tops,XS,Blue,96,5,No,26-35,Female,IL,4,Payment,Closed,196,5,All Season
CUST00153,2024-09-09,Jackets,XS,Beige,63,3,No,18-25,Prefer not to say,FL,2,Payment,Resolved,225,3,Winter
CUST00154,2025-08-22,Accessories,M,Beige,142,4.1,No,18-25,Non-Binary,GA,7,Return Request,Resolved,242,5,Winter
CUST00155,2024-05-17,Dresses,S,Gray,84,4.7,Yes,18-25,Female,TX,13,Sizing,Closed,183,5,Spring
CUST00156,2025-05-01,Shoes,XS,Pink,144,4.3,No,56-65,Male,NY,11,Other,Escalated,243,5,All Season
CUST00157,2024-12-25,Accessories,XL,Beige,83,4.1,No,46-55,Non-Binary,CA,1,Sizing,Closed,239,3,All Season
CUST00158,2025-09-13,Tops,XXL,Blue,125,4.5,Yes,18-25,Male,TX,14,Product Quality,Pending,132,4,Fall
CUST00159,2025-03-01,Accessories,M,Blue,90,4.2,Yes,56-65,Male,GA,5,Payment,Closed,204,3,Summer
CUST00160,2025-06-05,Tops,XXL,White,64,3.6,Yes,56-65,Prefer not to say,OH,4,Product Quality,Escalated,135,4,Spring
CUST00161,2025-03-11,Dresses,M,Gray,26,4.7,Yes,65+,Female,TX,4,Product Quality,Escalated,79,5,All Season
CUST00162,2024-12-12,Dresses,XXL,Red,103,4.5,Yes,56-65,Female,OH,9,Product Quality,Escalated,205,3,Winter
CUST00163,2025-04-19,Shoes,XS,Green,55,4.3,No,56-65,Male,IL,8,Delivery,Closed,197,3,Spring
CUST00164,2025-07-08,Skirts,XL,Burgundy,29,3.7,Yes,56-65,Prefer not to say,NC,3,Sizing,Resolved,100,5,Summer
CUST00165,2024-06-23,Jackets,XL,Beige,63,3.3,No,36-45,Prefer not to say,TX,12,Payment,Pending,37,5,Summer
CUST00166,2025-06-12,Accessories,M,Navy,27,4.9,No,56-65,Prefer not to say,MI,7,Return Request,Closed,26,4,Spring
CUST00167,2024-11-20,Tops,XXL,Red,34,4.2,No,56-65,Female,FL,10,Product Quality,Closed,169,5,Fall
CUST00168,2025-11-02,Jackets,XXL,White,125,4.7,No,46-55,Male,IL,15,Sizing,Pending,120,5,Summer
CUST00169,2025-09-11,Jackets,XS,White,46,4.3,Yes,65+,Male,OH,8,Delivery,Closed,160,4,Fall
CUST00170,2024-05-30,Tops,XL,Black,29,3.4,Yes,56-65,Male,TX,7,Sizing,Escalated,270,5,Spring
CUST00171,2025-03-16,Pants,S,Blue,122,5,Yes,18-25,Male,OH,2,Sizing,Resolved,160,5,Spring
CUST00172,2024-10-05,Pants,XS,Gray,134,4.4,Yes,36-45,Non-Binary,MI,12,Product Quality,Escalated,34,5,Winter
CUST00173,2024-08-30,Accessories,XXL,Gray,157,3.4,No,46-55,Female,GA,5,Style Advice,Pending,161,5,Spring
CUST00174,2024-08-27,Jackets,XXL,Burgundy,133,4.7,No,65+,Non-Binary,FL,12,Payment,Pending,224,3,Fall
CUST00175,2024-11-13,Tops,XL,Blue,69,4.4,No,46-55,Female,TX,12,Sizing,Closed,244,3,Spring
CUST00176,2025-06-18,Skirts,XXL,Green,163,3.3,No,26-35,Male,FL,1,Payment,Escalated,151,4,Summer
CUST00177,2025-03-16,Accessories,XL,Navy,22,4.5,No,26-35,Non-Binary,CA,7,Sizing,Closed,240,5,Fall
CUST00178,2024-08-03,Jackets,L,Beige,99,4.2,No,26-35,Non-Binary,MI,14,Sizing,Resolved,88,5,All Season
CUST00179,2024-09-28,Shoes,S,Black,166,3.3,No,26-35,Male,IL,3,Style Advice,Resolved,168,4,Spring
CUST00180,2025-04-20,Shoes,S,Gray,31,3.9,No,18-25,Prefer not to say,PA,6,Style Advice,Closed,67,5,All Season
CUST00181,2025-10-20,Dresses,XXL,Black,50,4.3,Yes,26-35,Female,MI,1,Sizing,Escalated,23,3,Spring
CUST00182,2025-06-28,Shoes,XL,Gray,63,3.4,No,56-65,Prefer not to say,FL,5,Product Quality,Pending,176,3,Summer
CUST00183,2025-06-17,Skirts,S,Gray,97,4.6,No,56-65,Male,FL,11,Style Advice,Closed,233,5,Spring
CUST00184,2025-04-30,Dresses,L,Burgundy,103,3.6,Yes,46-55,Male,FL,10,Sizing,Closed,66,5,Fall
CUST00185,2024-09-15,Dresses,XXL,Beige,28,4.6,Yes,36-45,Female,NC,10,Sizing,Resolved,103,5,Fall
CUST00186,2024-07-19,Accessories,M,Navy,90,4.1,No,65+,Female,IL,11,Delivery,Closed,66,4,All Season
CUST00187,2024-12-18,Tops,S,Pink,148,4.9,No,56-65,Non-Binary,IL,9,Payment,Escalated,118,4,Winter
CUST00188,2025-01-12,Jackets,XS,Beige,103,3.4,No,36-45,Non-Binary,OH,6,Delivery,Resolved,132,5,Spring
CUST00189,2025-03-09,Dresses,L,Navy,41,4.2,No,46-55,Female,TX,13,Sizing,Escalated,27,5,Spring
CUST00190,2024-08-04,Accessories,XL,Black,112,3.7,No,65+,Non-Binary,MI,2,Delivery,Resolved,28,4,Winter
CUST00191,2025-08-04,Jackets,S,Blue,96,4.5,No,65+,Male,TX,8,Sizing,Resolved,158,4,Summer
CUST00192,2025-01-26,Pants,S,Black,93,4.4,Yes,26-35,Prefer not to say,PA,14,Payment,Resolved,56,5,Spring
CUST00193,2024-12-29,Accessories,S,Blue,57,3.4,No,65+,Male,FL,8,Delivery,Resolved,241,4,Spring
CUST00194,2024-06-25,Dresses,M,White,122,4.9,Yes,18-25,Female,GA,10,Sizing,Escalated,184,4,All Season
CUST00195,2024-08-10,Skirts,XS,Gray,134,4.4,No,36-45,Female,TX,2,Product Quality,Pending,200,3,Spring
CUST00196,2025-10-06,Pants,XL,Navy,136,4.1,Yes,26-35,Prefer not to say,GA,10,Sizing,Resolved,158,3,Winter
CUST00197,2025-05-07,Pants,L,Green,81,4.2,No,26-35,Prefer not to say,FL,8,Sizing,Escalated,220,3,Spring
CUST00198,2024-06-19,Jackets,M,Pink,111,3.6,No,26-35,Non-Binary,NC,5,Style Advice,Resolved,119,3,Summer
CUST00199,2025-01-02,Pants,S,Navy,28,3.9,No,18-25,Non-Binary,NC,15,Product Quality,Closed,182,5,Winter
CUST00200,2025-04-30,Shoes,XS,Beige,155,3.7,No,65+,Non-Binary,MI,8,Style Advice,Escalated,207,4,Winter
